ZCTA5,LANDSQMT,POPULATION
4227,1465452,79
4228,177187,6
4231,88236368,236
4234,848752,168
4236,83594263,4350
4237,18226000,238
4238,58034589,1416
4239,125290110,4851
4240,88439163,36592
4250,30886554,4228
4252,28235082,4799
4253,97435647,2095
4254,50797160,3181
4255,97986667,802
4256,29156999,3064
4257,60451775,2681
4258,76719052,2617
4259,76106090,3264
4260,122048426,5542
4261,541911861,444
4263,103735410,2326
4265,18292885,918
4267,5373655,37
4268,118189133,5023
4270,203680082,5880
4271,467501,67
4274,108702334,5343
4275,245332123,514
4276,177531573,5841
4280,107888609,6474
4281,105134108,5116
4282,153471153,5734
4284,43808086,1138
4285,167375195,433
4286,145209,47
4287,115081964,3224
4289,62822854,1815
4290,120891992,1541
4292,114760289,948
4294,149296132,3995
4330,303247577,26086
4342,78871354,1672
4343,1315314,25
4344,29085600,2951
4345,186660541,11646
4346,5516107,1772
4347,15209805,2355
4348,194868973,2976
4349,76240916,1158
4350,96193173,3577
4351,55080335,2571
4352,97731016,1632
4353,121252291,2300
4354,105047942,1535
4355,75792547,2600
4357,78723549,3399
4358,128907712,4276
4359,1860714,388
4360,62665007,560
4363,89742067,2575
4364,79037654,6025
4401,259596685,44899
4406,233532086,819
4408,306480338,176
4410,106666156,1290
4411,110258165,1492
4412,39455711,9482
4413,133069719,196
4414,637155140,1248
4415,4097989,276
4416,149650960,5468
4417,161730677,370
4418,381691643,1771
4419,94612249,2794
4421,20149824,1366
4422,105031183,1409
4424,272449306,823
4426,400074698,4720
4427,104108159,2858
4428,154153075,3146
4429,182704788,4717
4430,23379537,1728
4431,809372,81
4434,64253326,1246
4435,99875579,1092
4438,63737496,1124
4441,1505788328,1840
4442,193978471,93
4443,355821865,2537
4444,178825188,8824
4448,285979789,1431
4449,96617667,1489
4450,43582796,1368
4451,194057834,259
4453,175130341,779
4454,128052284,69
4455,217986720,923
4456,77850598,2851
4457,426960087,5948
4459,208678953,773
4460,277008668,1419
4461,114276977,3070
4462,3032137295,4835
4463,379742061,2847
4464,518124717,684
4468,308944328,9521
4469,625565,2702
4471,248672769,609
4472,120953878,2144
4473,46480286,7660
4474,64726304,3733
4475,62703160,418
4476,103279722,1259
4478,1027296727,316
4479,99560523,1343
4481,80216894,559
4485,115413636,233
4487,569227919,964
4488,90623378,1202
4489,519680,197
4490,683736939,273
4491,33522195,140
4492,120439975,166
4493,172937683,1967
4495,113177087,407
4496,92007098,3757
4497,622376193,389
4530,74492111,10818
4535,54134939,709
4537,43411224,2073
4538,12631730,2080
4539,42311034,1168
4541,4764198,80
4543,32162775,2218
4544,8334256,724
4547,36528521,1152
4548,48130048,1042
4551,42644648,806
4553,75243635,1752
4554,11081429,710
4555,49052624,1643
4556,46808031,1249
4558,10703522,308
4562,74026850,2216
4563,49817691,1534
4564,22480844,489
4568,12851366,391
4570,706084,2
4571,5484033,323
4572,185179527,5075
4573,21089125,501
4574,98165483,1510
4575,1702715,85
4576,13224487,604
4578,86613031,4450
4579,90842229,3072
4605,736852590,12974
4606,110407132,1272
4607,129284506,1182
4609,109395350,5222
4611,14547137,508
4612,14215197,589
4613,4839979,183
4614,155941483,2579
4616,46423725,824
4617,65923853,811
4619,88890838,3121
4622,666283130,1412
4623,352549500,1054
4624,14783426,184
4625,5470241,47
4626,121606094,507
4627,55573442,1636
4628,225037253,703
4629,5875673,107
4630,226523589,1398
4631,9455354,1331
4634,273901661,1923
4635,11499122,61
4637,232099045,136
4640,71738212,2261
4642,14644637,123
4643,55170397,1018
4644,12857,13
4645,32428332,73
4646,2729276,94
4648,88926350,580
4649,73851413,1370
4650,9957379,235
4652,158722207,1690
4653,7421786,490
4654,259083103,3424
4655,55450384,1119
4657,261023849,363
4658,62794535,1353
4660,74702148,1309
4662,7011056,488
4664,92870788,1238
4666,163164377,1172
4667,77278833,1638
4668,251927174,1680
4669,7068086,204
4671,73004904,576
4673,7803253,112
4674,21958828,484
4675,13264084,253
4676,62191052,1088
4677,10345152,274
4679,35542884,1767
4680,111434557,1131
4681,25403768,1043
4683,11449244,104
4684,95759814,1466
4685,37185466,332
4686,293252603,114
4691,121693920,441
4693,37191609,516
4694,339403636,2376
4730,607893248,9992
4732,1134489962,1670
4733,136281559,221
4734,116907234,800
4735,125577563,617
4736,432056259,9876
4739,583276425,1112
4740,100266659,1287
4741,8658260,3
4742,198565962,3496
4743,352059277,4676
4745,62091072,1082
4746,95534601,470
4747,421747378,1337
4750,203043025,2603
4756,46150965,3344
4757,334700805,2870
4758,91006829,1498
4760,259787771,795
4761,47825569,529
4762,102998140,602
4763,90794119,726
4764,170008341,66
4765,1480480446,1262
4766,94620086,386
4768,537310255,400
4769,196210371,9692
4772,76728185,762
4773,101033989,723
4774,459157032,730
4776,221515480,925
4777,233410485,422
4779,246335515,398
4780,786888366,808
4781,126567227,560
4783,145659750,426
4785,264051658,2504
4786,182198907,1970
4787,104225052,544
4841,33258651,7297
4843,47885623,4851
4847,56877124,1536
4848,37009086,566
4849,158297229,3684
4851,6014348,75
4852,2202210,69
4853,29447552,354
4854,22990798,1580
4855,5969256,307
4856,56043634,3330
4858,29501247,1533
4859,17161745,724
4860,46195451,1591
4861,28326258,2781
4862,168344362,3592
4863,60367605,1165
4864,120361160,4751
4901,204123376,26248
4910,100560698,2041
4911,165093603,2136
4912,154367029,1048
4915,189184086,8806
4917,102858901,2849
4918,9265168,349
4920,659206338,1713
4921,122904915,1593
4922,100726143,1164
4923,55316679,482
4924,106594006,2275
4925,147241863,75
4926,280174,52
